
Standard & Poors 500 Index,Last: 4164,Change:  52.92
"Date: February 7, 2023 at 5:34 PM EST",Bid: 4099.96,Ask: 4203.0601,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Feb 07 2023,SPXW230207C03475000,0,0,681.3,705.3,0,0,0,0,0,3475.00,SPXW230207P03475000,0.05,0,0,0.05,0,0,0,0,1
Tue Feb 07 2023,SPXW230207C03500000,607.9,0,656.3,680.3,0,0,0,0,25,3500.00,SPXW230207P03500000,0.07,0,0,0.05,0,0,0,0,451
Tue Feb 07 2023,SPXW230207C03525000,0,0,631.3,655.3,0,0,0,0,0,3525.00,SPXW230207P03525000,0.05,0.025,0,0.05,2,0,0,0,231
Tue Feb 07 2023,SPXW230207C03550000,564.58,0,606.3,630.3,0,0,0,0,2,3550.00,SPXW230207P03550000,0.15,0,0,0.05,0,0,0,0,308
Tue Feb 07 2023,SPXW230207C03575000,0,0,581.3,605.3,0,0,0,0,0,3575.00,SPXW230207P03575000,0.05,0,0,0.05,0,0,0,0,65
Tue Feb 07 2023,SPXW230207C03600000,380.34,0,556.3,580.3,0,0,0,0,134,3600.00,SPXW230207P03600000,0.05,0,0,0.05,0,0,0,0,1327
Tue Feb 07 2023,SPXW230207C03625000,492.9,0,531.3,555.3,0,0,0,0,7,3625.00,SPXW230207P03625000,0.05,0.025,0,0.05,1,0,0,0,74
Tue Feb 07 2023,SPXW230207C03650000,490.04,30.14,506.3,530.3,1,0,0,0,15,3650.00,SPXW230207P03650000,0.05,0,0,0.05,0,0,0,0,1688
Tue Feb 07 2023,SPXW230207C03660000,475.17,25.27,496.3,520.3,60,0,0,0,60,3660.00,SPXW230207P03660000,0.12,0,0,0.05,0,0,0,0,151
Tue Feb 07 2023,SPXW230207C03670000,469.77,29.87,486.3,510.3,1,0,0,0,1,3670.00,SPXW230207P03670000,0.1,0,0,0.05,0,0,0,0,228
Tue Feb 07 2023,SPXW230207C03675000,250,0,481.3,505.3,0,0,0,0,1,3675.00,SPXW230207P03675000,0.05,0,0,0.05,0,0,0,0,606
Tue Feb 07 2023,SPXW230207C03680000,455.12,25.22,476.3,500.3,60,0,0,0,60,3680.00,SPXW230207P03680000,0.05,0,0,0.05,0,0,0,0,95
Tue Feb 07 2023,SPXW230207C03690000,0,0,466.3,490.3,0,0,0,0,0,3690.00,SPXW230207P03690000,0.05,0,0,0.05,0,0,0,0,76
Tue Feb 07 2023,SPXW230207C03700000,383.09,0,456.3,480.3,0,0,0,0,19,3700.00,SPXW230207P03700000,0.05,0.025,0,0.05,3,0,0,0,10809
Tue Feb 07 2023,SPXW230207C03710000,0,0,446.3,470.3,0,0,0,0,0,3710.00,SPXW230207P03710000,0.05,0,0,0.05,0,0,0,0,1013
Tue Feb 07 2023,SPXW230207C03720000,197.84,0,436.3,460.3,0,0,0,0,1,3720.00,SPXW230207P03720000,0.05,0,0,0.05,0,0,0,0,3799
Tue Feb 07 2023,SPXW230207C03725000,396.45,11.5,431.3,455.3,8,0,0,0,9,3725.00,SPXW230207P03725000,0.05,0,0,0.05,0,0,0,0,5450
Tue Feb 07 2023,SPXW230207C03730000,0,0,426.3,450.3,0,0,0,0,0,3730.00,SPXW230207P03730000,0.05,0,0,0.05,0,0,0,0,236
Tue Feb 07 2023,SPXW230207C03740000,0,0,416.3,440.3,0,0,0,0,0,3740.00,SPXW230207P03740000,0.05,-0.025,0,0.05,1,0,0,0,256
Tue Feb 07 2023,SPXW230207C03750000,397.96,38.01,406.3,430.3,52,0,0,0,52,3750.00,SPXW230207P03750000,0.05,0,0,0.05,0,0,0,0,304
Tue Feb 07 2023,SPXW230207C03760000,0,0,396.3,420.3,0,0,0,0,0,3760.00,SPXW230207P03760000,0.05,0,0,0.05,0,0,0,0,91
Tue Feb 07 2023,SPXW230207C03770000,332,-7.95,386.3,410.3,40,0,0,0,41,3770.00,SPXW230207P03770000,0.2,0,0,0.05,0,0,0,0,139
Tue Feb 07 2023,SPXW230207C03775000,382.9,47.95,381.3,405.3,1,0,0,0,0,3775.00,SPXW230207P03775000,0.05,-0.025,0,0.05,1,0,0,0,349
Tue Feb 07 2023,SPXW230207C03780000,367.94,37.99,376.3,400.3,13,0,0,0,12,3780.00,SPXW230207P03780000,0.1,0,0,0.05,0,0,0,0,122
Tue Feb 07 2023,SPXW230207C03790000,364.33,44.38,366.3,390.3,1,0,0,0,6,3790.00,SPXW230207P03790000,0.05,0,0,0.05,0,0,0,0,33
Tue Feb 07 2023,SPXW230207C03795000,0,0,361.3,385.3,0,0,0,0,0,3795.00,SPXW230207P03795000,0.2,0,0,0.05,0,0,0,0,229
Tue Feb 07 2023,SPXW230207C03800000,357.92,47.97,356.3,380.3,18,0,0,0,25,3800.00,SPXW230207P03800000,0.05,-0.025,0,0.05,1,0,0,0,327
Tue Feb 07 2023,SPXW230207C03805000,352.89,47.94,351.3,375.3,1,0,0,0,4,3805.00,SPXW230207P03805000,0.1,0,0,0.05,0,0,0,0,67
Tue Feb 07 2023,SPXW230207C03810000,344.63,44.68,346.3,370.3,1,0,0,0,9,3810.00,SPXW230207P03810000,0.1,0,0,0.05,0,0,0,0,514
Tue Feb 07 2023,SPXW230207C03815000,294.2,0,341.3,365.3,0,0,0,0,16,3815.00,SPXW230207P03815000,0.1,0,0,0.05,0,0,0,0,97
Tue Feb 07 2023,SPXW230207C03820000,274.58,-15.37,336.3,360.3,1,0,0,0,1,3820.00,SPXW230207P03820000,0.05,-0.025,0,0.05,5,0,0,0,83
Tue Feb 07 2023,SPXW230207C03825000,267.67,0,331.3,355.3,0,0,0,0,3,3825.00,SPXW230207P03825000,0.07,0,0,0.05,0,0,0,0,175
Tue Feb 07 2023,SPXW230207C03830000,315.27,35.32,326.3,350.3,3,0,0,0,10,3830.00,SPXW230207P03830000,0.07,0,0,0.05,0,0,0,0,53
Tue Feb 07 2023,SPXW230207C03835000,265.6,0,321.3,345.3,0,0,0,0,7,3835.00,SPXW230207P03835000,0.07,0,0,0.05,0,0,0,0,136
Tue Feb 07 2023,SPXW230207C03840000,304.9,34.95,316.3,340.3,1,0,0,0,13,3840.00,SPXW230207P03840000,0.05,-0.025,0,0.05,1,0,0,0,184
Tue Feb 07 2023,SPXW230207C03845000,263.97,0,311.3,335.3,0,0,0,0,40,3845.00,SPXW230207P03845000,0.07,0,0,0.05,0,0,0,0,340
Tue Feb 07 2023,SPXW230207C03850000,297.91,37.96,306.3,330.3,34,0,0,0,72,3850.00,SPXW230207P03850000,0.05,-0.025,0,0.05,13,0,0,0,1251
Tue Feb 07 2023,SPXW230207C03855000,299.27,44.32,301.3,325.3,1,0,0,0,2,3855.00,SPXW230207P03855000,0.05,-0.05,0,0.05,1,0,0,0,141
Tue Feb 07 2023,SPXW230207C03860000,273.24,23.24,296.3,320.3,1,0,0,0,17,3860.00,SPXW230207P03860000,0.05,-0.05,0,0.05,3,0,0,0,119
Tue Feb 07 2023,SPXW230207C03865000,278.17,33.17,291.3,315.3,1,0,0,0,34,3865.00,SPXW230207P03865000,0.05,-0.05,0,0.05,2,0,0,0,163
Tue Feb 07 2023,SPXW230207C03870000,275.22,35.22,286.3,310.3,3,0,0,0,24,3870.00,SPXW230207P03870000,0.1,0,0,0.05,0,0,0,0,69
Tue Feb 07 2023,SPXW230207C03875000,279.57,44.57,281.3,305.3,56,0,0,0,122,3875.00,SPXW230207P03875000,0.1,0,0,0.05,0,0,0,0,641
Tue Feb 07 2023,SPXW230207C03880000,264.9,34.9,276.3,300.3,2,0,0,0,43,3880.00,SPXW230207P03880000,0.05,-0.05,0,0.05,1,0,0,0,141
Tue Feb 07 2023,SPXW230207C03885000,259.34,34.34,271.3,295.3,1,0,0,0,3,3885.00,SPXW230207P03885000,0.05,-0.05,0,0.05,1,0,0,0,3152
Tue Feb 07 2023,SPXW230207C03890000,254.52,34.52,266.3,290.3,9,0,0,0,14,3890.00,SPXW230207P03890000,0.05,-0.075,0,0.05,1,0,0,0,608
Tue Feb 07 2023,SPXW230207C03895000,249.01,34.01,261.3,285.3,1,0,0,0,5,3895.00,SPXW230207P03895000,0.1,0,0,0.05,0,0,0,0,108
Tue Feb 07 2023,SPXW230207C03900000,243.71,33.71,256.3,280.3,10,0,0,0,60,3900.00,SPXW230207P03900000,0.05,-0.075,0,0.05,8,0,0,0,1646
Tue Feb 07 2023,SPXW230207C03905000,229.75,24.75,251.3,275.3,20,0,0,0,13,3905.00,SPXW230207P03905000,0.1,0,0,0.05,0,0,0,0,167
Tue Feb 07 2023,SPXW230207C03910000,210.04,0,248.8,271.5,0,0,0,0,8,3910.00,SPXW230207P03910000,0.05,-0.075,0,0.05,1,0,0,0,373
Tue Feb 07 2023,SPXW230207C03915000,243.47,48.47,243.8,267.2,5,0,0,0,16,3915.00,SPXW230207P03915000,0.1,0,0,0.05,0,0,0,0,240
Tue Feb 07 2023,SPXW230207C03920000,238.42,48.62,236.3,260.3,6,0,0,0,10,3920.00,SPXW230207P03920000,0.05,-0.075,0,0.05,1,0,0,0,89
Tue Feb 07 2023,SPXW230207C03925000,217.7,32.7,233.8,257.4,5,0,0,0,6,3925.00,SPXW230207P03925000,0.05,-0.075,0,0.05,102,0,0,0,1307
Tue Feb 07 2023,SPXW230207C03930000,179.48,-0.32,226.3,250.3,6,0,0,0,29,3930.00,SPXW230207P03930000,0.05,-0.075,0,0.05,25,0,0,0,1007
Tue Feb 07 2023,SPXW230207C03935000,169.17,-5.88,217.1,241.1,2,0,0,0,19,3935.00,SPXW230207P03935000,0.05,-0.075,0,0.05,230,0,0,0,446
Tue Feb 07 2023,SPXW230207C03940000,168.23,-1.67,212.1,236.1,3,0,0,0,15,3940.00,SPXW230207P03940000,0.05,-0.075,0,0.05,889,0,0,0,831
Tue Feb 07 2023,SPXW230207C03945000,158.28,-6.77,211.3,235.3,2,0,0,0,10,3945.00,SPXW230207P03945000,0.05,-0.075,0,0.05,297,0,0,0,486
Tue Feb 07 2023,SPXW230207C03950000,197.05,37.65,202.6,226.5,9,0,0,0,102,3950.00,SPXW230207P03950000,0.05,-0.075,0,0.05,5498,0,0,0,6428
Tue Feb 07 2023,SPXW230207C03955000,140.07,-14.33,201.3,225.2,11,0,0,0,10,3955.00,SPXW230207P03955000,0.05,-0.1,0,0.05,289,0,0,0,404
Tue Feb 07 2023,SPXW230207C03960000,152.73,3.33,196.2,212.2,2,0,0,0,9,3960.00,SPXW230207P03960000,0.05,-0.1,0,0.05,520,0,0,0,2684
Tue Feb 07 2023,SPXW230207C03965000,178.64,34.19,191.4,207.4,8,0,0,0,808,3965.00,SPXW230207P03965000,0.05,-0.1,0,0.05,2499,0,0,0,629
Tue Feb 07 2023,SPXW230207C03970000,196.57,57.12,186.4,202.4,15,0,0,0,42,3970.00,SPXW230207P03970000,0.05,-0.1,0,0.05,6199,0,0,0,6062
Tue Feb 07 2023,SPXW230207C03975000,193.65,59.2,181.4,197.4,109,0,0,0,36,3975.00,SPXW230207P03975000,0.05,-0.125,0,0.05,2366,0,0,0,3416
Tue Feb 07 2023,SPXW230207C03980000,186.29,56.84,176.4,192.4,41,0,0,0,83,3980.00,SPXW230207P03980000,0.05,-0.15,0,0.05,1689,0,0,0,750
Tue Feb 07 2023,SPXW230207C03985000,170.79,46.29,171.4,187.4,11,0,0,0,67,3985.00,SPXW230207P03985000,0.05,-0.175,0,0.05,1939,0,0,0,1595
Tue Feb 07 2023,SPXW230207C03990000,150.6,31.05,166.4,182.4,62,0,0,0,94,3990.00,SPXW230207P03990000,0.05,-0.225,0,0.05,9315,0,0,0,8163
Tue Feb 07 2023,SPXW230207C03995000,175.02,60.42,161.4,177.4,41,0,0,0,63,3995.00,SPXW230207P03995000,0.05,-0.275,0,0.05,2711,0,0,0,1095
Tue Feb 07 2023,SPXW230207C04000000,164,54.3,156.4,172.4,114,0,0,0,130,4000.00,SPXW230207P04000000,0.05,-0.325,0,0.05,6395,0,0,0,6288
Tue Feb 07 2023,SPXW230207C04005000,143.21,38.46,151.4,167.4,33,0,0,0,65,4005.00,SPXW230207P04005000,0.05,-0.45,0,0.05,6528,0,0,0,618
Tue Feb 07 2023,SPXW230207C04010000,133.59,33.69,146.4,162.4,74,0,0,0,76,4010.00,SPXW230207P04010000,0.05,-0.55,0,0.05,9266,0,0,0,3619
Tue Feb 07 2023,SPXW230207C04015000,132.02,36.97,141.4,157.4,59,0,0,0,58,4015.00,SPXW230207P04015000,0.05,-0.725,0,0.05,7201,0,0,0,1369
Tue Feb 07 2023,SPXW230207C04020000,126.99,36.74,136.4,152.4,793,0,0,0,80,4020.00,SPXW230207P04020000,0.05,-0.95,0,0.05,8410,0,0,0,1401
Tue Feb 07 2023,SPXW230207C04025000,139.78,54.23,131.4,147.4,221,0,0,0,1704,4025.00,SPXW230207P04025000,0.05,-1.2,0,0.05,11518,0,0,0,2432
Tue Feb 07 2023,SPXW230207C04030000,134.73,53.83,126.4,142.4,816,0,0,0,78,4030.00,SPXW230207P04030000,0.05,-1.525,0,0.05,9232,0,0,0,1962
Tue Feb 07 2023,SPXW230207C04035000,108.5,32.3,124,138.1,46,0,0,0,135,4035.00,SPXW230207P04035000,0.05,-1.9,0,0.05,9405,0,0,0,1287
Tue Feb 07 2023,SPXW230207C04040000,109.07,37.37,116.4,132.4,284,0,0,0,987,4040.00,SPXW230207P04040000,0.05,-2.35,0,0.05,17563,0,0,0,1407
Tue Feb 07 2023,SPXW230207C04045000,100.16,32.96,113.6,128.1,96,0,0,0,98,4045.00,SPXW230207P04045000,0.05,-2.85,0,0.05,13272,0,0,0,647
Tue Feb 07 2023,SPXW230207C04050000,117.12,54.22,106.2,122.2,443,0,0,0,1095,4050.00,SPXW230207P04050000,0.05,-3.5,0,0.05,28867,0,0,0,3510
Tue Feb 07 2023,SPXW230207C04055000,113.51,54.96,101.4,117.4,148,0,0,0,102,4055.00,SPXW230207P04055000,0.05,-4.2,0,0.05,11673,0,0,0,611
Tue Feb 07 2023,SPXW230207C04060000,106.67,52.32,99.7,109.7,156,0,0,0,81,4060.00,SPXW230207P04060000,0.05,-5.05,0,0.05,19899,0,0,0,1455
Tue Feb 07 2023,SPXW230207C04065000,93.68,43.38,94.7,104.7,286,0,0,0,89,4065.00,SPXW230207P04065000,0.05,-5.95,0,0.05,15231,0,0,0,1290
Tue Feb 07 2023,SPXW230207C04070000,91.02,44.67,89.7,99.7,550,0,0,0,226,4070.00,SPXW230207P04070000,0.05,-7.05,0,0.05,19765,0,0,0,1284
Tue Feb 07 2023,SPXW230207C04075000,92.34,49.74,84.7,94.7,519,0,0,0,174,4075.00,SPXW230207P04075000,0.05,-8.25,0,0.05,20128,0,0,0,2161
Tue Feb 07 2023,SPXW230207C04080000,87.24,48.34,79.7,89.7,1960,0,0,0,369,4080.00,SPXW230207P04080000,0.05,-9.65,0,0.05,23746,0,0,0,1365
Tue Feb 07 2023,SPXW230207C04085000,78.15,42.75,75.9,83,901,0,0,0,214,4085.00,SPXW230207P04085000,0.05,-11.15,0,0.05,18601,0,0,0,545
Tue Feb 07 2023,SPXW230207C04090000,82,49.8,70.9,78,2670,0,0,0,215,4090.00,SPXW230207P04090000,0.05,-12.85,0,0.05,29748,0,0,0,790
Tue Feb 07 2023,SPXW230207C04095000,69.6,40.55,65.9,73,3284,0,0,0,128,4095.00,SPXW230207P04095000,0.05,-14.75,0,0.05,21089,0,0,0,593
Tue Feb 07 2023,SPXW230207C04100000,65,38.9,60.9,68,18459,0,0,0,1526,4100.00,SPXW230207P04100000,0.05,-16.8,0,0.05,49704,0,0,0,3044
Tue Feb 07 2023,SPXW230207C04105000,64.3,40.9,55.9,63,11919,0,0,0,427,4105.00,SPXW230207P04105000,0.05,-19.05,0,0.05,15559,0,0,0,623
Tue Feb 07 2023,SPXW230207C04110000,54.54,33.74,50.9,58,15301,0,0,0,958,4110.00,SPXW230207P04110000,0.05,-21.4,0,0.05,22236,0,0,0,854
Tue Feb 07 2023,SPXW230207C04115000,49.28,30.88,45.9,53,9943,0,0,0,575,4115.00,SPXW230207P04115000,0.05,-24.05,0,0.05,16694,0,0,0,762
Tue Feb 07 2023,SPXW230207C04120000,47.51,31.41,40.9,48,18662,0,0,0,1361,4120.00,SPXW230207P04120000,0.05,-26.75,0,0.05,24072,0,0,0,424
Tue Feb 07 2023,SPXW230207C04125000,40,25.95,35.9,43,27208,0,0,0,4974,4125.00,SPXW230207P04125000,0.05,-29.65,0,0.05,16253,0,0,0,474
Tue Feb 07 2023,SPXW230207C04130000,34,21.8,30.9,36,22340,0,0,0,496,4130.00,SPXW230207P04130000,0.05,-32.9,0,0.05,22919,0,0,0,538
Tue Feb 07 2023,SPXW230207C04135000,28.4,17.9,25.9,33,19175,0,0,0,467,4135.00,SPXW230207P04135000,0.05,-36.2,0,0.05,13048,0,0,0,353
Tue Feb 07 2023,SPXW230207C04140000,29.2,20.2,23,28,32089,0,0,0,819,4140.00,SPXW230207P04140000,0.05,-39.6,0,0.05,16936,0,0,0,296
Tue Feb 07 2023,SPXW230207C04145000,20.29,12.69,15.9,23,24983,0,0,0,646,4145.00,SPXW230207P04145000,0.05,-43.2,0,0.05,12440,0,0,0,254
Tue Feb 07 2023,SPXW230207C04150000,15.42,9.02,13,18,60119,0,0,0,5457,4150.00,SPXW230207P04150000,0.05,-47,0,0.05,17600,0,0,0,1535
Tue Feb 07 2023,SPXW230207C04155000,11.78,6.48,8.4,11.3,26276,0,0,0,799,4155.00,SPXW230207P04155000,0.05,-51,0,0.05,7604,0,0,0,247
Tue Feb 07 2023,SPXW230207C04160000,5,0.6,3.7,6.5,51636,0,0,0,1228,4160.00,SPXW230207P04160000,0.05,-55.05,0,0.05,9598,0,0,0,148
Tue Feb 07 2023,SPXW230207C04165000,0.3,-3.35,0.1,0.35,41013,0,0,0,1787,4165.00,SPXW230207P04165000,0.4,-58.9,0.35,1,7219,0,0,0,95
Tue Feb 07 2023,SPXW230207C04170000,0.05,-2.9,0,0.05,47000,0,0,0,2707,4170.00,SPXW230207P04170000,4.07,-59.58,4.4,5,4919,0,0,0,174
Tue Feb 07 2023,SPXW230207C04175000,0.05,-2.35,0,0.05,37745,0,0,0,1937,4175.00,SPXW230207P04175000,8.97,-59.13,7,11.6,1972,0,0,0,604
Tue Feb 07 2023,SPXW230207C04180000,0.05,-1.9,0,0.05,36632,0,0,0,1199,4180.00,SPXW230207P04180000,15.45,-57.2,10.3,20.3,1098,0,0,0,86
Tue Feb 07 2023,SPXW230207C04185000,0.05,-1.5,0,0.05,19779,0,0,0,690,4185.00,SPXW230207P04185000,17.65,-59.6,17,24.1,595,0,0,0,95
Tue Feb 07 2023,SPXW230207C04190000,0.05,-1.15,0,0.05,20576,0,0,0,1325,4190.00,SPXW230207P04190000,24.14,-57.71,20.4,27,181,0,0,0,107
Tue Feb 07 2023,SPXW230207C04195000,0.05,-0.9,0,0.05,15038,0,0,0,1436,4195.00,SPXW230207P04195000,40.73,-45.92,25.3,35.3,105,0,0,0,72
Tue Feb 07 2023,SPXW230207C04200000,0.05,-0.675,0,0.05,29337,0,0,0,4887,4200.00,SPXW230207P04200000,35.3,-56.1,30.3,40.3,201,0,0,0,97
Tue Feb 07 2023,SPXW230207C04205000,0.05,-0.5,0,0.05,8530,0,0,0,3349,4205.00,SPXW230207P04205000,28.3,-67.95,35.3,45.3,55,0,0,0,6
Tue Feb 07 2023,SPXW230207C04210000,0.05,-0.35,0,0.05,8538,0,0,0,5140,4210.00,SPXW230207P04210000,34.68,-66.47,40.3,50.3,117,0,0,0,42
Tue Feb 07 2023,SPXW230207C04215000,0.05,-0.25,0,0.05,5497,0,0,0,1658,4215.00,SPXW230207P04215000,72.57,-33.43,45.3,55.3,8,0,0,0,18
Tue Feb 07 2023,SPXW230207C04220000,0.05,-0.175,0,0.05,4429,0,0,0,5741,4220.00,SPXW230207P04220000,75.6,-35.35,50.3,60.3,10,0,0,0,15
Tue Feb 07 2023,SPXW230207C04225000,0.05,-0.125,0,0.05,6060,0,0,0,7396,4225.00,SPXW230207P04225000,83.37,-32.53,55.3,65.3,25,0,0,0,187
Tue Feb 07 2023,SPXW230207C04230000,0.05,-0.1,0,0.05,3088,0,0,0,1126,4230.00,SPXW230207P04230000,59.2,-61.65,60.3,70.3,100,0,0,0,36
Tue Feb 07 2023,SPXW230207C04235000,0.05,-0.075,0,0.05,3299,0,0,0,2004,4235.00,SPXW230207P04235000,101.2,-24.6,65.3,75.3,13,0,0,0,13
Tue Feb 07 2023,SPXW230207C04240000,0.05,-0.025,0,0.05,1559,0,0,0,2529,4240.00,SPXW230207P04240000,106.1,-24.65,70.3,80.3,6,0,0,0,1
Tue Feb 07 2023,SPXW230207C04245000,0.05,-0.025,0,0.05,952,0,0,0,1017,4245.00,SPXW230207P04245000,147.1,11.3,75.3,85.3,7,0,0,0,0
Tue Feb 07 2023,SPXW230207C04250000,0.05,-0.025,0,0.05,1163,0,0,0,1007,4250.00,SPXW230207P04250000,111.05,-29.7,80.3,90.2,53,0,0,0,35
Tue Feb 07 2023,SPXW230207C04255000,0.05,-0.025,0,0.05,251,0,0,0,569,4255.00,SPXW230207P04255000,147.9,2.15,85.3,95.2,23,0,0,0,0
Tue Feb 07 2023,SPXW230207C04260000,0.05,-0.025,0,0.05,52,0,0,0,608,4260.00,SPXW230207P04260000,84.79,-65.96,90.3,100.2,5,0,0,0,2
Tue Feb 07 2023,SPXW230207C04265000,0.05,0,0,0.05,20,0,0,0,588,4265.00,SPXW230207P04265000,162.93,7.23,95.3,105.2,13,0,0,0,13
Tue Feb 07 2023,SPXW230207C04270000,0.05,0.025,0,0.05,3715,0,0,0,973,4270.00,SPXW230207P04270000,139.6,-21.1,100.3,110.3,160,0,0,0,3
Tue Feb 07 2023,SPXW230207C04275000,0.05,0.025,0,0.05,19,0,0,0,6543,4275.00,SPXW230207P04275000,157.23,0,101.5,117.5,0,0,0,0,2
Tue Feb 07 2023,SPXW230207C04280000,0.05,0.025,0,0.05,31,0,0,0,215,4280.00,SPXW230207P04280000,114.6,-55.55,105.5,121.4,95,0,0,0,31
Tue Feb 07 2023,SPXW230207C04285000,0.05,0.025,0,0.05,17,0,0,0,83,4285.00,SPXW230207P04285000,182.95,7.9,112.8,128.8,13,0,0,0,13
Tue Feb 07 2023,SPXW230207C04290000,0.05,0.025,0,0.05,9,0,0,0,65,4290.00,SPXW230207P04290000,0,0,117.8,133.8,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C04295000,0.05,0.025,0,0.05,11,0,0,0,170,4295.00,SPXW230207P04295000,0,0,122.8,138.8,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C04300000,0.05,0.025,0,0.05,22,0,0,0,3664,4300.00,SPXW230207P04300000,176.32,-13.88,127.8,143.8,22,0,0,0,25
Tue Feb 07 2023,SPXW230207C04305000,0.05,0,0,0.05,0,0,0,0,240,4305.00,SPXW230207P04305000,0,0,132.8,148.8,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C04310000,0.05,0.025,0,0.05,6,0,0,0,438,4310.00,SPXW230207P04310000,0,0,137.8,153.8,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C04315000,0.05,0.025,0,0.05,11,0,0,0,97,4315.00,SPXW230207P04315000,0,0,142.8,158.8,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C04320000,0.05,0,0,0.05,0,0,0,0,29,4320.00,SPXW230207P04320000,0,0,147.8,163.8,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C04325000,0.05,0,0,0.05,0,0,0,0,207,4325.00,SPXW230207P04325000,0,0,152.8,168.8,0,0,0,0,0
